title,director,cast,country,duration
93 Days,Steve Gukas,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,121 min
A 2nd Chance,Clay Glen,"Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou",Australia,95 min
A 3 Minute Hug,Everardo González,,"Mexico, United States",28 min
A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,99 min
A Bad Moms Christmas,"Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon, Christine Baranski, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley","United States, China",104 min
A Beautiful Life,Andrew Lau Wai-Keung,"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",122 min
A Billion Colour Story,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,104 min
A Boy Called Po,John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George",United States,94 min
A Boy Name Flora A,,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,1 Season
A Bridge Too Far,Richard Attenborough,"Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Krüger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann","United States, United Kingdom",176 min
A California Christmas,Shaun Paul Piccinino,"Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer",United States,107 min
A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,90 min
A Chaster Marriage,Umut Kirca,"Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",Turkey,94 min
A Choo,"Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",Taiwan,101 min
A Christmas Catch,,"Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks",Canada,87 min
A Christmas Prince,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",United States,92 min
A Christmas Prince: The Royal Baby,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Raj Bajaj, Richard Ashton, Tahirah Sharif, Joel McVeagh, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu, Billy Angel",United States,85 min
A Christmas Prince: The Royal Wedding,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh",United States,93 min
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","France, South Korea, Japan",22 min
A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",95 min
A Cinderella Story: Christmas Wish,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson",United States,86 min
A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, Adrienne Corri, Paul Farrell, Miriam Karlin, James Marcus","United Kingdom, United States",137 min
A Dangerous Woman,Stephen Gyllenhaal,"Debra Winger, Barbara Hershey, Gabriel Byrne, Laurie Metcalf, John Terry, Maggie Gyllenhaal, Jake Gyllenhaal, Chloe Webb, David Strathairn",United States,101 min
A Fairly Odd Summer,Savage Steve Holland,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings",United States,68 min
A Fall from Grace,Tyler Perry,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry",United States,121 min
A Family Affair,Tom Fassaert,Tom Fassaert,"Netherlands, Denmark, South Africa",111 min
A Family Man,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States",110 min
A Family Reunion Christmas,Robbie Countryman,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree",United States,29 min
A Flying Jatt,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh, Gaurav Pandey, Shraddha Kapoor, Amrita Puri",India,142 min
A Fortunate Man,Bille August,"Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sarah Viktoria Bjerregaard, Anders Hove, Jens Albinus",Denmark,168 min
A Futile and Stupid Gesture,David Wain,"Will Forte, Domhnall Gleeson, Martin Mull, Joel McHale, Matt Lucas, Thomas Lennon, Seth Green, Jackie Tohn, Natasha Lyonne, Emmy Rossum, Elvy Yost, Matt Walsh, John Gemberling, Rick Glassman, Camille Guaty",United States,102 min
A Ghost Story,David Lowery,"Casey Affleck, Rooney Mara, Liz Franke, Rob Zabrecky, Will Oldham, Sonia Acevedo",United States,92 min
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,"Charlie Sheen, Jason Schwartzman, Bill Murray, Katheryn Winnick, Patricia Arquette, Aubrey Plaza, Mary Elizabeth Winstead, Dermot Mulroney",United States,86 min
A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo","Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse",United States,22 min
A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore","Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea",,22 min
A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",,21 min
A Good Wife,,"Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang",Taiwan,1 Season
A Grand Night In: The Story of Aardman,Richard Mears,Julie Walters,United Kingdom,59 min
A Gray State,Erik Nelson,,United States,93 min
A Haunted House,Michael Tiddes,"Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Dave Sheridan, Affion Crockett, J.B. Smoove, Andrew Daly, Alanna Ubach",United States,86 min
A Haunting at Silver Falls: The Return,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey",United States,80 min
A Heavy Heart,Thomas Stuber,"Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic, Marko Dyrlich, Peter Schneider, Reiner Schöne, Udo Kroschwald",Germany,109 min
A Holiday Engagement,Jim Fall,"Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox",United States,92 min
A Home with A View,Herman Yau,"Francis Chun-Yu Ng, Louis Koo, Anita Yuen, Tat-Ming Cheung, Jocelyn Choi, Ng Siu-hin, Lam Suet, Anthony Wong Chau-Sang, Lo Hoi-pang",Hong Kong,92 min
A House of Blocks,,"Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting",Taiwan,1 Season
A Kid from Coney Island,"Coodie, Chike",Stephon Marbury,"United States, China",89 min
A Kind of Murder,Andy Goddard,"Patrick Wilson, Jessica Biel, Vincent Kartheiser, Haley Bennett, Eddie Marsan, Jon Osbeck, Radek Lord, Christine Dye",United States,96 min
A Korean Odyssey,,"Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang, Lee Se-young",South Korea,1 Season
A Land Imagined,Yeo Siew Hua,"Peter Yu, Liu Xiaoyi, Guo Yue, Ishtiaque Zico, Jack Tan","France, Netherlands, Singapore",95 min
A Leaf of Faith,Chris Bell,,United States,87 min
A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,,Argentina,93 min
A Lion in the House,"Steven Bognar, Julia Reichert",,United States,1 Season
A Little Chaos,Alan Rickman,"Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Steven Waddington, Jennifer Ehle, Rupert Penry-Jones, Paula Paul, Danny Webb, Phyllida Law",United Kingdom,113 min
A Little Help with Carol Burnett,,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen",United States,1 Season
A Little Thing Called First Love,,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei, Wang Bowen",China,1 Season
A Love So Beautiful,,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won",South Korea,1 Season
A Love Song for Latasha,Sophia Nahli Allison,,United States,20 min
A Love Story,Maryo J. De los Reyes,"Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid",Philippines,117 min
A Man Called God,,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young",South Korea,1 Season
A Mighty Team,Thomas Sorriaux,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,97 min
A Mission in an Old Movie,Ahmad El-Badri,"Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed",,98 min
A Monster Calls,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim","United Kingdom, Spain, United States",108 min
A Most Violent Year,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola","United Arab Emirates, United States",125 min
A Murder in the Park,"Christopher S. Rech, Brandon Kimber",,United States,91 min
A new Capitalism,,,Brazil,76 min
A New York Christmas Wedding,Otoja Abit,"Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino",United States,90 min
A Night at the Roxbury,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",United States,82 min
A Noble Intention,Joram Lürsen,"Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk",Netherlands,111 min
A Patch of Fog,Michael Lennox,"Stephen Graham, Conleth Hill, Lara Pulver, Arsher Ali, Stuart Graham, Ian McElhinney",United Kingdom,92 min
A Perfect Crime,,,Germany,1 Season
A Perfect Ending,Nicole Conn,"Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson",United States,110 min
A Perfect Man,Kees Van Oostrum,"Liev Schreiber, Jeanne Tripplehorn, Joelle Carter, Louise Fletcher, Katie Carr, Renée Soutendijk, Huub Stapel, Michael Pas",United States,94 min
A Plastic Ocean,,Tanya Streeter,"United Kingdom, Hong Kong",100 min
A Princess for Christmas,Michael Damian,"Katie McGrath, Sir Roger Moore, Sam Heughan, Travis Turner, Leilah de Meza, Miles Richardson, Charlotte Salt",United States,91 min
A Queen Is Born,Carla Barros,"Gloria Groove, Alexia Twister",Brazil,1 Season
A Remarkable Tale,Marina Seresesky,"Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena, Jimmy Castro, Ricardo Nkosi, Montse Pla, Malcolm Treviño-Sitté, Pepa Charro, Esperanza Elipe, Mariana Cordero, Txema Blasco",Spain,94 min
A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,44 min
A Scandall,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah",India,108 min
A Second Chance,Cathy Garcia-Molina,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz",Philippines,130 min
A Secret Love,Chris Bolan,,United States,83 min
A Separation,Asghar Farhadi,"Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr","Iran, France",123 min
A Series of Unfortunate Events,,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi",United States,3 Seasons
A Serious Man,"Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig","United States, United Kingdom, France",106 min
A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher","Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt","United Kingdom, France, Belgium, United States, China",87 min
A Silent Voice,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga, Mayu Matsuoka",Japan,130 min
A Single Man,Tom Ford,"Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena",United States,100 min
A Sort of Family,Diego Lerman,"Bárbara Lennie, Daniel Aráoz, Claudio Tolcachir, Paula Cohen, Yanina Ávila","Argentina, Brazil, France, Poland, Germany, Denmark",96 min
A Sort of Homecoming,Maria Burton,"Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite",United States,89 min
A Stoning in Fulham County,Larry Elikann,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",United States,95 min
A StoryBots Christmas,"Evan Spiridellis, Jeff Gill","Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis",United States,26 min
A Sun,Chung Mong-hong,"Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting, Greg Hsu, Wu Tai-ling, Wen Chen-ling, Yin Shin",Taiwan,156 min
A Taiwanese Tale of Two Cities,,"Tammy Chen, James Wen, Peggy Tseng, Denny Huang",Taiwan,1 Season
A Tale of Love and Darkness,Natalie Portman,"Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon","Israel, United States",98 min
A Tale of Two Kitchens,Trisha Ziff,,"United States, Mexico",30 min
A Thin Line Between Love & Hate,Martin Lawrence,"Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown, Della Reese, Daryl Mitchell, Roger Mosley, Malinda Williams, Roger E. Mosley, Simbi Khali, Tangie Ambrose, Wendy Raquel Robinson, Stacii Jae Johnson, Faizon Love, Miguel A. Núñez Jr., Tracy Morgan",United States,108 min
A Thousand Goodnights,,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li",Taiwan,1 Season
A Thousand Words,Brian Robbins,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer",United States,92 min
A Touch of Green,,"Weber Yang, Cheryl Yang, Tien Hsin, Gabriel Lan, Wu Kang-jen, Cindy Lien, Wen Chen-ling, Hans Chung",Taiwan,1 Season
A Trash Truck Christmas,Eddie Rosas,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio",,28 min
A Trip to Jamaica,Robert O. Peters,"Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore",Nigeria,99 min
A truthful Mother,Ravishankar Venkateswaran,"Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela",India,85 min
A Twelve Year Night,Álvaro Brechner,"Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil, César Troncoso, Silvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren","Uruguay, Argentina, Spain",122 min
A Very Country Christmas,Justin G. Dyck,"Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack","United States, Canada",84 min
A Very Murray Christmas,Sofia Coppola,"Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix",United States,57 min
A Very Secret Service,,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras, Bruno Paviot, Jean-Édouard Bodziak, Mathilde Warnier, Joséphine de La Baume, Marie-Julie Baup, Antoine Gouy, Julie Farenc",France,2 Seasons
A Very Special Love,Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo",Philippines,107 min
A Walk to Remember,Adam Shankman,"Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German, Clayne Crawford, Al Thompson",United States,102 min
A Wednesday,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw, Aamir Bashir, Kali Prasad Mukherjee, Vijay Bhatia, Chetan Pandit",India,103 min
A Week in Watts,Gregory Caruso,,United States,91 min
A Whisker Away,"Junichi Sato, Tomotaka Shibayama","Mirai Shida, Natsuki Hanae, Hiroaki Ogi, Koichi Yamadera, Minako Kotobuki, Susumu Chiba, Ayako Kawasumi, Sayaka Ohara, Daisuke Namikawa",Japan,104 min
A Witches' Ball,Justin G. Dyck,"Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan",Canada,91 min
A Wrinkle in Time,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson",United States,110 min
A Year In Space,,Scott Kelly,United States,1 Season
A Yellow Bird,K. Rajagopal,"Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari, Nithiyia Rao, Indra Chandran","Singapore, France",111 min
A Young Doctor's Notebook and Other Stories,,"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye",United Kingdom,2 Seasons
A.D. Kingdom and Empire,,"Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard",United States,1 Season
A.I.C.O.,Kazuya Murata,"Haruka Shiraishi, Yusuke Kobayashi, Makoto Furukawa, Taishi Murata, Kaori Nazuka, M・A・O, Ryota Takeuchi, Ai Kayano, Toru Okawa, Takehito Koyasu, Atsuko Tanaka",Japan,1 Season
A.M.I.,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",Canada,77 min
A.X.L.,Oliver Daly,"Alex Neustaedter, Becky G., Alex MacNicoll, Dominic Rains, Thomas Jane, Lou Taylor Pucci, Patricia De Leon, Niko Guardado, Ted McGinley, Marie-Françoise Theodore, Eric Etebari, Dorian Kingi",United States,99 min
Aşk Tesadüfleri Sever,Ömer Faruk Sorak,"Mehmet Günsür, Belçim Bilgin, Ayda Aksel, Altan Erkekli, Sebnem Sönmez, Hüseyin Avni Danyal, Berna Konur, Ümit Bülent Dinçer",Turkey,122 min
Aadu 2,Midhun Manuel Thomas,"Jayasurya, Vinayakan, Sunny Wayne, Vijay Babu, Saiju Kurup, Vineeth Mohan, Unni Rajan P. Dev, Dharmajan Bolgatty, Indrans",India,150 min
Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma, Shenaz Treasury, Mahie Gill",India,117 min
Aajcha Divas Majha,Chandrakant Kulkarni,"Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Hrishikesh Joshi, Satish Alekar, Sunil Tawde, Pushkar Shrotri, Anand Ingle",India,126 min
